                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6023,                 2.6665,                 1.2357,                0.00463,                0.92343,                0.48575,                0.27191,                 1.3069,                 3.1919,                  1.024,             0.00054384,             0.00054384,             0.00054384
                      2,                 1.3975,                 1.6936,                 1.2039,                0.87476,                0.62578,                0.80803,                0.52203,                 1.2725,                 2.1795,                 1.0562,              0.0010777,              0.0010777,              0.0010777
                      3,                 1.4215,                 1.3921,                 1.2012,                0.94811,                0.83536,                0.90018,                0.55637,                 1.4651,                 1.3316,                 1.1106,              0.0015896,              0.0015896,              0.0015896
                      4,                 1.3448,                 1.2859,                 1.1813,                0.96013,                0.85676,                 0.9086,                0.45223,                 1.6628,                 1.3407,                 1.1998,               0.001568,               0.001568,               0.001568
                      5,                 1.3321,                 1.1071,                 1.1768,                0.97937,                0.89622,                0.93064,                0.58997,                 1.2828,                 1.0436,                 1.0733,               0.001535,               0.001535,               0.001535
                      6,                 1.3229,                 1.0029,                 1.1711,                0.92956,                0.78165,                0.85109,                0.55103,                  1.373,                 1.2338,                 1.1233,               0.001502,               0.001502,               0.001502
                      7,                 1.3027,                0.91674,                 1.1728,                0.95535,                0.87205,                0.92586,                0.58098,                 1.3571,                0.86145,                 1.1205,               0.001469,               0.001469,               0.001469
                      8,                 1.3128,                0.90252,                 1.1845,                0.98856,                0.87885,                0.93235,                0.65573,                 1.1382,                0.80195,                 1.0374,               0.001436,               0.001436,               0.001436
                      9,                 1.2718,                0.85532,                 1.1459,                0.97547,                0.84643,                 0.9112,                0.64437,                 1.1294,                0.88459,                 1.0845,              0.0014029,              0.0014029,              0.0014029
                     10,                 1.2444,                0.79764,                 1.1345,                0.98373,                0.88309,                0.93444,                0.63706,                 1.1747,                0.71424,                 1.0219,              0.0013699,              0.0013699,              0.0013699
                     11,                 1.2545,                0.79315,                 1.1642,                0.95805,                0.89688,                0.93666,                0.60934,                 1.2413,                0.77669,                 1.1105,              0.0013369,              0.0013369,              0.0013369
                     12,                 1.2387,                0.74099,                 1.1329,                0.97757,                0.87844,                0.93368,                0.49041,                 1.6832,                0.81828,                 1.1887,              0.0013039,              0.0013039,              0.0013039
                     13,                 1.1911,                0.71621,                 1.1221,                0.96945,                0.89565,                0.93103,                0.61503,                 1.3056,                 0.7304,                 1.0768,              0.0012709,              0.0012709,              0.0012709
                     14,                 1.2003,                0.70432,                 1.1291,                0.96968,                0.87969,                0.93539,                0.62178,                 1.2832,                0.69525,                 1.0651,              0.0012379,              0.0012379,              0.0012379
                     15,                 1.1831,                0.67952,                 1.1216,                0.96534,                0.89791,                0.93803,                0.58696,                 1.3361,                0.71988,                 1.1031,              0.0012049,              0.0012049,              0.0012049
                     16,                 1.2001,                0.68878,                 1.1227,                 0.9803,                0.92354,                0.95269,                0.66535,                 1.0919,                0.64807,                 1.0366,              0.0011719,              0.0011719,              0.0011719
                     17,                 1.1931,                0.67094,                 1.1146,                0.98403,                0.89969,                0.94376,                0.65822,                 1.1693,                0.65849,                 1.0419,              0.0011389,              0.0011389,              0.0011389
                     18,                 1.1368,                0.63912,                 1.0946,                0.95447,                0.91091,                0.95535,                 0.6651,                 1.1662,                 0.6429,                 1.0458,              0.0011059,              0.0011059,              0.0011059
                     19,                 1.1892,                0.64173,                  1.134,                0.98187,                0.90894,                0.94293,                0.59001,                 1.3913,                0.76313,                 1.1131,              0.0010729,              0.0010729,              0.0010729
                     20,                 1.1196,                0.63625,                 1.0961,                0.97407,                0.90621,                0.93986,                0.67009,                 1.0967,                0.62328,                 1.0295,              0.0010399,              0.0010399,              0.0010399
                     21,                 1.1274,                0.61616,                 1.0996,                0.98046,                0.91195,                 0.9434,                0.63978,                 1.1677,                0.64595,                 1.0484,              0.0010069,              0.0010069,              0.0010069
                     22,                 1.1198,                0.62298,                 1.0994,                0.99265,                0.90605,                0.94556,                0.62552,                 1.2361,                 0.6406,                 1.0806,             0.00097386,             0.00097386,             0.00097386
                     23,                 1.1111,                0.59967,                  1.076,                0.97579,                0.93073,                 0.9534,                0.67716,                 1.1399,                0.60032,                 1.0337,             0.00094085,             0.00094085,             0.00094085
                     24,                 1.1334,                0.58557,                 1.1049,                0.98388,                0.92092,                0.95723,                0.68826,                 1.0874,                0.57679,                 1.0238,             0.00090785,             0.00090785,             0.00090785
                     25,                 1.1013,                0.57993,                 1.0879,                0.98417,                0.92746,                0.95357,                0.68083,                 1.1062,                0.58303,                 1.0283,             0.00087484,             0.00087484,             0.00087484
                     26,                 1.0618,                0.55537,                 1.0679,                0.98649,                0.92202,                0.95323,                0.66472,                  1.243,                0.58954,                 1.0562,             0.00084184,             0.00084184,             0.00084184
                     27,                 1.0607,                0.55782,                 1.0619,                0.97477,                0.93306,                 0.9505,                0.64094,                 1.2506,                0.56789,                 1.0598,             0.00080883,             0.00080883,             0.00080883
                     28,                 1.0834,                0.54597,                 1.0881,                0.98831,                0.92478,                0.95349,                 0.6725,                 1.1466,                0.58315,                 1.0352,             0.00077582,             0.00077582,             0.00077582
                     29,                 1.0598,                0.54548,                 1.0645,                0.98927,                0.92931,                 0.9565,                0.67088,                 1.1705,                0.56398,                 1.0323,             0.00074282,             0.00074282,             0.00074282
                     30,                 1.0464,                0.52632,                 1.0943,                0.99116,                0.92929,                0.95918,                0.68939,                 1.1233,                0.54282,                  1.021,             0.00070981,             0.00070981,             0.00070981
                     31,                 1.0279,                0.52352,                 1.0603,                0.99701,                0.91603,                0.95387,                0.64396,                 1.2457,                0.57038,                 1.0475,              0.0006768,              0.0006768,              0.0006768
                     32,                 1.0373,                0.52661,                 1.0722,                0.99878,                0.91494,                0.96072,                 0.7064,                 1.0413,                0.52855,                  1.025,              0.0006438,              0.0006438,              0.0006438
                     33,                  1.012,                0.51306,                  1.071,                 0.9761,                 0.9151,                0.95339,                0.63819,                 1.2358,                0.57886,                 1.0639,             0.00061079,             0.00061079,             0.00061079
                     34,                 0.9957,                0.50698,                 1.0565,                0.98667,                0.92064,                0.95181,                0.67496,                 1.1264,                0.55722,                 1.0251,             0.00057778,             0.00057778,             0.00057778
                     35,                 1.0204,                0.51249,                 1.0595,                0.98976,                0.92343,                0.96137,                0.67902,                 1.1593,                0.55282,                  1.035,             0.00054478,             0.00054478,             0.00054478
                     36,                 1.0038,                 0.4983,                 1.0494,                0.97707,                0.93317,                0.96023,                0.70684,                 1.0249,                0.51467,                 1.0061,             0.00051177,             0.00051177,             0.00051177
                     37,                0.99074,                0.49757,                  1.042,                0.98617,                0.92338,                 0.9608,                0.67791,                 1.1106,                0.50924,                 1.0171,             0.00047876,             0.00047876,             0.00047876
                     38,                 1.0012,                 0.4868,                  1.048,                0.99025,                0.92035,                0.95852,                0.67692,                 1.1484,                0.53581,                 1.0366,             0.00044576,             0.00044576,             0.00044576
                     39,                0.97495,                0.48151,                 1.0432,                 0.9922,                0.91676,                0.95952,                0.68259,                 1.1482,                0.52344,                 1.0366,             0.00041275,             0.00041275,             0.00041275
                     40,                0.96451,                0.46978,                 1.0406,                0.99265,                 0.9197,                  0.961,                0.68316,                 1.1217,                0.51242,                 1.0261,             0.00037974,             0.00037974,             0.00037974
                     41,                0.94678,                0.44267,                 1.0362,                0.98698,                0.92392,                0.96215,                0.64119,                 1.2386,                0.54051,                 1.0564,             0.00034674,             0.00034674,             0.00034674
                     42,                0.89971,                0.42003,                 1.0284,                0.97887,                0.93436,                0.96261,                0.69598,                 1.0857,                0.50305,                 1.0079,             0.00031373,             0.00031373,             0.00031373
                     43,                0.89784,                0.41612,                 1.0185,                0.98087,                0.93171,                0.96135,                0.67373,                  1.154,                0.50675,                   1.03,             0.00028072,             0.00028072,             0.00028072
                     44,                0.85354,                0.39906,                 1.0036,                0.98302,                0.92179,                0.96303,                0.68115,                 1.1204,                0.51359,                 1.0262,             0.00024772,             0.00024772,             0.00024772
                     45,                0.85472,                0.40434,                 1.0002,                0.98522,                0.91303,                0.95966,                0.64103,                 1.2126,                0.52947,                 1.0584,             0.00021471,             0.00021471,             0.00021471
                     46,                0.85813,                0.39478,                 1.0086,                0.98831,                0.92252,                0.96245,                0.69663,                 1.0946,                0.49471,                 1.0109,              0.0001817,              0.0001817,              0.0001817
                     47,                0.86188,                0.39774,                0.99617,                0.99014,                0.91976,                0.96139,                0.71024,                  1.068,                0.48134,                0.99965,              0.0001487,              0.0001487,              0.0001487
                     48,                0.82876,                0.39416,                0.98374,                0.98004,                0.93113,                0.96439,                0.68054,                 1.1231,                0.49717,                 1.0184,             0.00011569,             0.00011569,             0.00011569
                     49,                0.81462,                0.38218,                 0.9813,                0.97711,                0.93483,                0.96407,                0.67744,                 1.1374,                 0.4938,                 1.0195,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     50,                0.81081,                0.38325,                 0.9884,                0.97112,                0.93608,                0.96331,                0.69271,                 1.1224,                0.48897,                 1.0167,             4.9677e-05,             4.9677e-05,             4.9677e-05
